               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.050465,             0.13178,             0.03146,             0.64466,              0.3967,             0.41181,             0.22419,            0.048416,             0.14342,            0.030721,           0.0088912,           0.0088912,           0.0088912
                  58,            0.050532,              0.1353,            0.031645,             0.62109,             0.38736,             0.41366,             0.21798,               0.049,             0.14503,            0.031494,           0.0088714,           0.0088714,           0.0088714
                  59,            0.050944,             0.13516,            0.031589,             0.63463,             0.39627,             0.41447,             0.20834,            0.049689,             0.14627,            0.030104,           0.0088516,           0.0088516,           0.0088516
                  60,            0.050345,             0.13172,            0.030705,             0.57352,             0.42918,             0.42289,             0.22581,            0.048141,             0.14494,            0.030243,           0.0088318,           0.0088318,           0.0088318
                  61,            0.050227,             0.13505,            0.030865,              0.6498,             0.39591,             0.42327,             0.22656,            0.048634,             0.14367,            0.029323,            0.008812,            0.008812,            0.008812
                  62,            0.049565,             0.13375,            0.030522,             0.60702,             0.42833,             0.42414,             0.22238,            0.048249,              0.1436,            0.029346,           0.0087922,           0.0087922,           0.0087922
                  63,            0.049479,             0.12874,            0.030241,             0.69788,             0.38039,             0.42444,             0.22587,            0.048457,             0.14491,            0.030251,           0.0087724,           0.0087724,           0.0087724
                  64,            0.049803,             0.13251,            0.030023,             0.66746,             0.39282,             0.42397,             0.22446,            0.048935,             0.14424,            0.029795,           0.0087526,           0.0087526,           0.0087526
                  65,            0.050607,              0.1335,            0.030254,             0.63209,             0.39663,               0.421,             0.22276,            0.048488,             0.14548,            0.029836,           0.0087328,           0.0087328,           0.0087328
                  66,            0.051147,             0.13792,            0.030472,             0.62969,             0.39634,             0.41203,             0.21243,            0.050424,             0.14568,            0.030236,            0.008713,            0.008713,            0.008713
                  67,            0.051091,             0.13248,            0.030122,             0.61882,             0.42519,             0.42364,             0.22385,            0.048552,             0.14472,            0.029902,           0.0086932,           0.0086932,           0.0086932
                  68,            0.050842,             0.13339,            0.030382,             0.62222,             0.43921,             0.42078,             0.21373,            0.049525,              0.1456,            0.029549,           0.0086734,           0.0086734,           0.0086734
                  69,            0.049807,             0.13336,            0.029911,             0.66917,             0.39045,             0.43961,             0.23116,            0.048191,             0.14303,            0.029262,           0.0086536,           0.0086536,           0.0086536
                  70,            0.049112,             0.12867,            0.029335,             0.63009,             0.42553,             0.43626,              0.2254,            0.048898,             0.14349,            0.029701,           0.0086338,           0.0086338,           0.0086338
                  71,            0.048928,             0.13311,            0.028725,             0.62013,             0.42376,             0.42623,             0.22052,            0.048213,             0.14678,            0.029774,            0.008614,            0.008614,            0.008614
                  72,            0.048929,             0.13192,            0.028963,             0.57987,             0.44673,              0.4228,             0.22471,            0.048656,             0.14449,            0.030037,           0.0085942,           0.0085942,           0.0085942
                  73,            0.049544,             0.12788,            0.029154,             0.65777,              0.4102,             0.44261,             0.22386,            0.049121,             0.14501,            0.028802,           0.0085744,           0.0085744,           0.0085744
                  74,             0.04904,             0.13149,            0.028477,             0.62377,             0.42988,             0.43892,             0.23758,            0.047762,              0.1437,            0.028337,           0.0085546,           0.0085546,           0.0085546
                  75,            0.048953,             0.13239,            0.028681,             0.63281,             0.43032,             0.43825,             0.23366,             0.04843,             0.14315,            0.028735,           0.0085348,           0.0085348,           0.0085348
                  76,            0.048756,             0.13079,            0.028372,             0.64487,             0.41257,             0.42859,              0.2358,            0.047634,             0.14461,            0.029008,            0.008515,            0.008515,            0.008515
                  77,            0.049213,             0.13185,             0.02835,             0.67462,             0.40173,             0.43267,             0.23176,            0.048402,             0.14416,            0.028883,           0.0084952,           0.0084952,           0.0084952
                  78,            0.048477,             0.12886,            0.028124,             0.63903,             0.42232,             0.43399,             0.23942,            0.047655,             0.14586,            0.028563,           0.0084754,           0.0084754,           0.0084754
                  79,             0.04815,             0.12971,            0.027779,             0.68707,             0.40581,             0.43789,             0.23848,            0.047637,              0.1433,            0.028885,           0.0084556,           0.0084556,           0.0084556
                  80,            0.047934,             0.12902,            0.027889,              0.6978,             0.39096,             0.43813,             0.24057,            0.047271,               0.143,            0.028111,           0.0084358,           0.0084358,           0.0084358
                  81,            0.048934,             0.13425,            0.028148,             0.67946,             0.39694,             0.43749,             0.23462,            0.048034,             0.14548,            0.028728,            0.008416,            0.008416,            0.008416
                  82,            0.049431,             0.13344,            0.028169,             0.63238,             0.42599,             0.43818,             0.24204,            0.047717,             0.14369,            0.028618,           0.0083962,           0.0083962,           0.0083962
                  83,            0.049133,             0.12967,            0.027753,             0.69503,             0.40372,             0.44746,             0.24385,            0.047008,             0.14249,            0.029407,           0.0083764,           0.0083764,           0.0083764
                  84,            0.048632,             0.13051,            0.026952,             0.64605,             0.44408,             0.46574,             0.23899,             0.04804,             0.14436,            0.027523,           0.0083566,           0.0083566,           0.0083566
                  85,            0.047972,             0.12791,            0.027069,             0.70011,             0.37906,             0.43478,              0.2376,            0.048133,             0.14357,            0.029017,           0.0083368,           0.0083368,           0.0083368
                  86,            0.048675,             0.12833,              0.0273,             0.64863,             0.42216,             0.44303,             0.24371,            0.047692,             0.14221,            0.027421,            0.008317,            0.008317,            0.008317
                  87,            0.048475,             0.13139,            0.027083,             0.64638,             0.42192,             0.43351,             0.23343,            0.047954,             0.14361,            0.028458,           0.0082972,           0.0082972,           0.0082972
                  88,            0.047943,             0.12922,            0.026972,                0.64,             0.43766,             0.45986,             0.25464,            0.046718,             0.14164,            0.028347,           0.0082774,           0.0082774,           0.0082774
                  89,            0.048008,                0.13,            0.026831,             0.65564,             0.43294,             0.44284,             0.23952,            0.047584,             0.14336,            0.028965,           0.0082576,           0.0082576,           0.0082576
                  90,            0.048249,             0.13275,            0.027021,             0.66045,             0.42538,             0.45126,             0.24372,            0.047852,             0.14243,            0.028492,           0.0082378,           0.0082378,           0.0082378
                  91,            0.048407,             0.13243,            0.027048,             0.68962,             0.41142,             0.45429,             0.24453,            0.047837,             0.14208,            0.027854,            0.008218,            0.008218,            0.008218
                  92,            0.047897,             0.13271,            0.026604,             0.67056,             0.41957,             0.43512,             0.23421,            0.048404,             0.14428,            0.028059,           0.0081982,           0.0081982,           0.0081982
